name,area,totalRatingsString,deliveryTime,minDeliveryTime,maxDeliveryTime,costForTwoString+
Mystic Lebanese, Malad Kan East,Too Few Ratings, 24,24,24,₹400 FOR TWO
Shetty tea and snacks center, Malad Kan East,20+ ratings, 37,37,37,₹300 FOR TWO
Chowrangee Cafe, Malad Kan East,Too Few Ratings, 32,32,32,₹500 FOR TWO
Chyna, Malad Kan East,Too Few Ratings, 26,26,26,₹500 FOR TWO
Agga Bai, Borivali,Too Few Ratings, 29,29,29,₹90 FOR TWO
Beverage Hub, Malad Kan East,Too Few Ratings, 33,33,33,₹400 FOR TWO
Mystic Lebanese, Malad Kan East,Too Few Ratings, 24,24,24,₹400 FOR TWO
Shetty tea and snacks center, Malad Kan East,20+ ratings, 37,37,37,₹300 FOR TWO
Chowrangee Cafe, Malad Kan East,Too Few Ratings, 32,32,32,₹500 FOR TWO
Chyna, Malad Kan East,Too Few Ratings, 27,27,27,₹500 FOR TWO
Agga Bai, Borivali,Too Few Ratings, 29,29,29,₹90 FOR TWO
Beverage Hub, Malad Kan East,Too Few Ratings, 33,33,33,₹400 FOR TWO
South Tiffin House, Borivali,100+ ratings, 26,26,26,₹300 FOR TWO
Aakash Sweets and Snacks, Borivali West,20+ ratings, 24,24,24,₹200 FOR TWO
Ek Batta Do, Borivali,Too Few Ratings, 31,31,31,₹300 FOR TWO
Gupta Bhelpuri Center, Borivali,20+ ratings, 32,32,32,₹300 FOR TWO
quick meal, Borivali East,Too Few Ratings, 27,27,27,₹300 FOR TWO
SAROVA BAR & RESTAURANT, Kandivali East,Too Few Ratings, 31,31,31,₹600 FOR TWO
The Fresh Press, Malad Kan East,20+ ratings, 32,32,32,₹300 FOR TWO
THE HOUSE OF PASTA, Borivali,100+ ratings, 32,32,32,₹300 FOR TWO
Fisco Restobar, Kandivali West,20+ ratings, 35,35,35,₹1000 FOR TWO
Pipasa, Borivali,Too Few Ratings, 23,23,23,₹200 FOR TWO
Agrawal Sweet Mart, Dahisar,20+ ratings, 32,32,32,₹350 FOR TWO
Sanjana Premium (Saibaba Nagar), Borivali West,100+ ratings, 30,30,30,₹150 FOR TWO
The Chocolate Heaven, Borivali West,20+ ratings, 27,27,27,₹550 FOR TWO
Radha Krishna (Borivali), Borivali West,1000+ ratings, 27,27,27,₹600 FOR TWO
WTC PASTA, Borivali,20+ ratings, 34,34,34,₹300 FOR TWO
Jain Dugdhalaya, Borivali West,100+ ratings, 21,21,21,₹150 FOR TWO
OH INDIAN, Malad Kan West,Too Few Ratings, 35,35,35,₹350 FOR TWO
Granville Greens, Borivali,100+ ratings, 32,32,32,₹800 FOR TWO
Nirala Gourmet Kitchen, Borivali,Too Few Ratings, 36,36,36,₹900 FOR TWO
Bombay Bytes, Borivali West,Too Few Ratings, 37,37,37,₹200 FOR TWO
Vadilal Ice Creams, Malad West,Too Few Ratings, 35,35,35,₹200 FOR TWO
Bombay Sweets, Borivali,20+ ratings, 35,35,35,₹300 FOR TWO
